Node ID: 1  Reception Time (ms): 0.07
Node ID: 4  Reception Time (ms): 30.82
Node ID: 0  Reception Time (ms): 49.23
Node ID: 3  Reception Time (ms): 59.52
Node ID: 2  Reception Time (ms): 79.9
Node ID: 5  Reception Time (ms): 144.82
Node ID: 6  Reception Time (ms): 218.87
Node ID: 7  Reception Time (ms): 247.48
Node ID: 8  Reception Time (ms): 328.94
Node ID: 9  Reception Time (ms): 355.57
Node ID: 10  Reception Time (ms): 406.28
Node ID: 12  Reception Time (ms): 431.44
Node ID: 11  Reception Time (ms): 486.65
Node ID: 14  Reception Time (ms): 496.53
Node ID: 13  Reception Time (ms): 516.29
